question,answer,document
Какие требования устанавливаются к составу и содержанию документации по удалению затонувшего имущества?," Требования к составу и содержанию документации по удалению затонувшего имущества устанавливаются федеральным органом исполнительной власти в области транспорта по согласованию с федеральным органом исполнительной власти, осуществляющим функции по выработке государственной политики и нормативно-правовому регулированию в сфере изучения, использования, воспроизводства и охраны природных ресурсов. Документация должна содержать описание способа и средств удаления затонувшего имущества, последовательность действий и требования к безопасности их проведения.",['Кодекс торгового мореплавания Российской Федерации']
Какие основные показатели оценки офертов на строительство производственных объектов указаны в ГОСТ МДС 80-3.2000?," В ГОСТ МДС 80-3.2000, который является частью технической части тендерной документации для подрядных торгов на строительство производственных объектов в России, указаны следующие основные показатели оценки оферт:

1. Предложенная цена предмета торгов (производственного строительства) с указанием валюты и расчетного периода.
2. Метод учета при осуществлении расчетов за выполненные работы последующих изменений уровня цен в связи с инфляцией, изменением законодательства в области налоговой политики и по другим вопросам.
3. Показатели экономической эффективности проектируемого производства (себестоимость продукции, срок окупаемости капитальных вложений и др.).
4. Сроки ввода объекта в эксплуатацию.
5. Степень воздействия объекта на окружающую среду.
6. Показатели технического уровня проектируемого производства (качественный уровень машин, механизмов, технологических процессов, средств контроля за качеством и степень оснащенности оферента этими средствами).
7. Информация о системах измерения, стандартах, испытаний и сертификации.","['Data1_10_10869_index', 'Data1_10_10865_index', 'Водный кодекс Российской Федерации', 'Data1_2_2081_index']"
Какая сумма привлеченных денежных средств считается особо крупным размером?," В соответствии с предоставленным контекстом, особо крупный размер привлечения денежных средств определяется как сумма, которая превышает пять миллионов рублей.",['Уголовный кодекс Российской Федерации']
Что влечет наложение административного штрафа на должностных лиц за нарушение порядка предоставления обеспечения исполнения обязательств по оплате энергоресурсов?, Наложение административного штрафа на должностных лиц в размере от сорока тысяч до ста тысяч рублей или дисквалификацию на срок от двух до трех лет. Это предусмотрено Статьей 14.61 Кодекса Российской Федерации об административном процессе.,['Административный кодекс Российской Федерации']
Какие требования предъявляются к прочности закрепленных грунтов при однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты согласно ГОСТ (к СНиП 3.02.01-83)?," Для одногорвсторной двухкомпонентной силикатизации при закреплении песчаных и просадочных лесовых грунтов, используемой в настоящее время, требования к прочности закрепленных грунтов не предъявляются. Эта технология отличается преимуществом возможности значительно более прочного закрепления грунтов по сравнению с однорастворной силикатизацией. При этом, в связи с выделением карбамидными смолами токсичного формальдегида, когда работы ведутся в закрытых помещениях, требуется применение усиленной приточно-оточной вентиляции.

Если же речь идет о глубинном закреплении грунтов смолзизацией, не связанным с последующим вскрытием закрепленных массивов (например, при усилении оснований, устройстве фундаментов или других подземных конструкций), то для этого способа преимущественно используются смолы марки М, М-2, МФ-17 и УКС. При смолзизации грунтов с целью прохода подземных выработок допускается применять способы на основе смолы марки М-3, содержащей наименьшее количество свободного формальдегида (0,3 - 0,5 %).",['Data1_11_11295_index']
"Какова цель технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24, раздел 8?"," Целью технического обслуживания и текущего ремонта зданий и сооружений является поддержание надлежащего технического состояния таких объектов (продвижение параметров устойчивости, надежности, исправность строительных конструкций, систем инженерно-технического обеспечения, сетей инженерно-технического обеспечения), соответствие которых должно быть в соответствии с требованиями технических регламентов, проектной документации.","['Data1_1_1879_index', 'Градостроительный кодекс Российской Федерации', 'Data1_10_10855_index']"
Что происходит с потерями бюджета в связи с получением средств ниже расчетного объема дотации?," В случае, если получатель бюджетных средств (бюджет) получил меньшее количество средств, чем предполагалось по расчетному объему дотации, то возникают потери бюджета. В таких случаях бюджетные органы должны принимать все необходимые действия для предупреждения потерь бюджета и получения сумм, которая соответствует расчетному объему дотации.",['Бюджетный кодекс Российской Федерации']
"Что означает ""особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов?"," В контексте сдачи в аренду земельных участков и других обособленных природных объектов, ""особыми условиями"" означают ограничения, которые распространяются на все, что находится над и под поверхностью земельных участков и запрещают или ограничивают размещение и (или) использование расположенных на таких земельных участках объектов недвижимого имущества, а также ограничения или запреты использования земельных участков для осуществления иных видов деятельности, которые несовместимы с целями установления зон с особыми условиями использования территорий.","['Земельный кодекс Российской Федерации', 'Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации']"
Какие меры наказания за нарушение соглашения о недопущении конкуренции указаны в ГОСТ МДС 80-2.2000?," В ГОСТ МДС 80-2.2000 (Правила оформления и исполнения договоров на поставки товаров) не указаны конкретные меры наказания за нарушение соглашения о недопущении конкуренции. Вместо этого в этой нормативной базе приводятся общие требования к договорам и правила их исполнения, среди которых предусмотрен подписываемый работником соглашение о недопущении конкуренции со стороны работника (формы 1-4).

Нарушения условий такого соглашения могут стать основанием для увольнения работника по вынужденной причине. В уголовном праве Российской Федерации действуют положения, нарушение которых может привести к наказанию в виде штрафа, административного наказания, исправительных работах или лишения свободы (Статья 178 и другие).","['Data1_10_10872_index', 'Уголовный кодекс Российской Федерации', 'Административный кодекс Российской Федерации']"
"Какие органы имеют право рассматривать дела об административных правонарушениях, предусмотренных статьей 15.12.1 КоАП РФ?"," Федеральные органы исполнительной власти, осуществляющие функции по контролю (надзору) в сфере обращения товаров, подлежащих маркировке средствами идентификации, с использованием государственной информационной системы мониторинга за оборотом товаров, подлежащих обязательной маркировке средствами идентификации.",['Административный кодекс Российской Федерации']
Какое максимальное число баллов по показателю 'цена' рекомендуется устанавливать согласно ГОСТ МДС 80-3.2000?," В документе ГОСТ МДС 80-3.2000 не указано какое максимальное число баллов по показателю 'цена' рекомендуется устанавливать.
Определение максимального числа баллов по показателю цена предлагает осуществлять в зависимости от конкретных требований и особенностей конкретного торга, а также установив тендерным комитетом.","['Data1_10_10869_index', 'Data1_10_10866_index', 'Data1_2_2075_index', 'Data1_11_11295_index']"
